forecast day,acc,rmse
1,0.9745289016527885,0.3815070161076037
2,0.973475008010625,0.4376525477656993
3,0.9615701251850611,0.47788378665803743
4,0.9529875521858425,0.4983017722998536
5,0.9464506847061582,0.5073171185252123
6,0.9440464014390779,0.5279353020204597
7,0.9316528030806162,0.5630802961906829
8,0.9212038548451201,0.6038386263992321
9,0.9159723046912673,0.6234087126275196
10,0.8994346139977397,0.6393423147829449
11,0.8677044748181562,0.6536462650940593
12,0.8315908266666463,0.689260180696322
13,0.7831815051775523,0.7404698458070487
14,0.7194257780352992,0.816945273382582
15,0.6535988013141907,0.896304700470396
16,0.614669181110041,0.9646208924116647
17,0.6094564042623881,0.9941866919651137
18,0.6115359715539909,1.007825990338246
19,0.5896172739503405,1.028300455104083
20,0.5976887206773945,1.029523160283446
21,0.6296837590406726,1.0051820232251563
22,0.644323579846506,1.0067956663539326
23,0.6264862077579668,1.040054848466753
24,0.586894880481887,1.0774504036998394
25,0.551946262904644,1.082550433038494
26,0.500824372089623,1.1165413322696771
27,0.43973299780322156,1.1490104331224713
28,0.40459928912882615,1.156011463114615
29,0.36266040118148984,1.2021419086112268
30,0.36191207546871745,1.222937695940546
31,0.3576146329109312,1.2863562944481457
32,0.34682462112443857,1.317305913160096
33,0.32990096344654796,1.3229649250891948
34,0.318610572366593,1.3381702285925055
35,0.33203042316733994,1.3223344909999544
