forecast day,amp_err,phse_err
1,-0.027231204967068556,-2.6082115185045858
2,-0.03408232819881713,-0.38384284491419435
3,-0.03519004960583468,4.84154663249677
4,-0.03526047144292016,0.06926932899456215
5,-0.034092830129843,3.0358099492037813
6,-0.0355401247978227,7.136828580179888
7,-0.03695389771724133,5.048090567267868
8,-0.040183545519685934,5.634661639968875
9,-0.04251765370928843,6.246382747926026
10,-0.04250655254680049,5.155859318175104
11,-0.03963942219743515,5.001108167592896
12,-0.037413883503487746,8.24430376472002
13,-0.0346910750211995,17.79761599854197
14,-0.0342315840247966,13.203622480800242
15,-0.03348492368783499,19.666381589557908
16,-0.03569853122102548,21.56143435323858
17,-0.03513268963053157,9.726780360463296
18,-0.03525061996124869,6.342401835810093
19,-0.03634494552042335,7.462360996897106
20,-0.0369112346666282,10.776715031783931
21,-0.037492653226866644,4.982192774076687
22,-0.040708405329797255,2.946955528669647
23,-0.04241426592829812,11.542792586610924
24,-0.03926019782914401,9.212739677597673
25,-0.03007066713623938,9.975432522618533
26,-0.024664683333393018,4.706195777676605
27,-0.02027973917242106,12.485161692505608
28,-0.013241860000177273,-7.350483762444234
29,-0.014393442517407875,1.186419785803416
30,-0.018096511583450377,-6.010753182515889
31,-0.021162254156211896,-5.930337786924964
32,-0.024552492011573647,-0.08109763721997283
33,-0.02444406659490168,-18.13654649749571
34,-0.024537150839548875,-1.2450036925526256
35,-0.022250457751066596,13.368972398393119
