PatternCC P23,PatternCC_low P23,PatternCC_high P23,PatternCC P67,PatternCC_low P67,PatternCC _high P67,RelAmp P23,RelAmp_low P23,RelAmp_high P23,RelAmp P67,RelAmp_low P67,RelAmp_high P67
0.9806578158707893,0.9754353029026541,0.984823024761546,0.9812136367368597,0.9762545797545763,0.9862202067523185,0.9986111271415934,0.9909236076567787,1.0072134838101772,0.9894689342520838,0.977230683926951,1.0015064012986004
0.9802120348355233,0.975446732592894,0.9844235254801481,0.9776291315614117,0.972060615002968,0.9830879723889981,0.9989462512214835,0.9877442022029556,1.0099718388124013,0.9859295517994934,0.9729241574796123,0.9999103763837878
0.9713507429711922,0.965594620090287,0.9764827260123335,0.9680513979073666,0.958675390641007,0.976558976782099,0.9881665089174224,0.9761600841214942,0.9997722511544148,0.9821536300297833,0.9691776721104846,0.9951544075422571
0.9521050825907829,0.9423498074865332,0.9605347432655034,0.9556032828862652,0.9437554862721267,0.9674632059815635,0.977209599815567,0.9647904843153543,0.9896340754916874,0.9799515469458168,0.9602002668763009,1.0044216853916357
0.9113990025897386,0.8890061734207856,0.9291743980888884,0.9389312868560756,0.9282096357193026,0.9481547359432672,0.9824708807102541,0.961145915340929,1.004910098335249,0.9707241649486898,0.9429541059995247,0.998114525851371
0.8654753335417769,0.836277717078429,0.8901304277434638,0.8902797837793043,0.863969104922474,0.9120359851450835,0.9761103319115785,0.940910359260426,1.0108853195084395,0.9611707159262131,0.9210814012263199,1.0021812786838036
0.7878305812386476,0.7459378004496976,0.8213217715473774,0.8142526247606313,0.7690614543097709,0.855156082512653,0.98886554877442,0.9495902185690365,1.0296711424634268,0.9215919401434617,0.8730391195479891,0.9652642428446275
0.6737723957986416,0.6002062212973194,0.7313569356166179,0.7117168929909767,0.6483216854213497,0.771169796734618,0.9893767394083632,0.9388777556911774,1.0572211679482288,0.9276491053942029,0.8606441540198964,1.0053131929836152
0.5528750916678007,0.4533418356645875,0.6329699699904936,0.5779675996544276,0.47976182563792624,0.6679261411857806,0.9805589091290519,0.9146988705032301,1.0625520081404414,0.9243061477537724,0.8453354107532074,1.0245167130994859
0.4772498748371634,0.3738902082808309,0.567415223399804,0.45178270043105656,0.3430919944963185,0.5541422503095649,1.025783008347033,0.9487528304364042,1.1276939117124254,0.8881336277212265,0.8145488450389925,0.9606415636965326
