PatternCC P23,PatternCC_low P23,PatternCC_high P23,PatternCC P67,PatternCC_low P67,PatternCC _high P67,RelAmp P23,RelAmp_low P23,RelAmp_high P23,RelAmp P67,RelAmp_low P67,RelAmp_high P67
0.9845827420336998,0.9814027060143808,0.9874713056718717,0.9835069426840497,0.9778511024249096,0.9878930181246028,0.9862025044906689,0.9771506967521698,0.9947615618054235,0.978119901403549,0.9679728944976062,0.9872058398556093
0.9850300020728364,0.982722969041966,0.9871476838364063,0.9821852619098568,0.9783721445869146,0.9858042995609055,0.9856165879985656,0.9766726702939329,0.9938787726978062,0.9850508404713992,0.9723938778559028,0.9977512989239524
0.9764275010588463,0.9728542819976039,0.9798980554317581,0.9680280280022947,0.9584444113221751,0.9772342253427873,0.9901050775642024,0.9721437876862971,1.0058813181763109,1.0001476888982064,0.9789549105969055,1.0205576064139892
0.9582891928883522,0.9468336123663027,0.9666017183795738,0.9513927944911127,0.9419840159605039,0.9612250141432997,1.0034432877363055,0.9853762962040984,1.0221046739528126,1.0083309326027734,0.9809320718534582,1.0332043157673865
0.9278513050298389,0.9134465971622225,0.941406483319711,0.9079770802586581,0.8896990287898751,0.9264095224826733,0.9887270980654819,0.9619592257978898,1.0166833653340959,0.9814498550030101,0.9446901245649757,1.0221539538372828
0.8715500067927914,0.844564929552708,0.8946582272614394,0.8354133024660374,0.785693690525614,0.8790743708322701,0.9752750295700181,0.9311027341369263,1.0199090804658077,0.9646629874846445,0.9338015946123056,0.9973327079946753
0.7837432649917964,0.7333599050847898,0.8298004438486751,0.7430850572808455,0.6711212624308156,0.8131121170928723,0.9674403391220546,0.9074388986228202,1.0259047481889167,0.9790114809550318,0.9377630077103035,1.015532228351907
0.6601232378183299,0.5949029462788975,0.7283834868295167,0.6959601321279183,0.5954203025218031,0.7790523635352138,0.9494163764509399,0.8674187795441084,1.04487237090599,0.9692127021216912,0.92995141706067,1.012849644906687
0.5698778600551992,0.4938194633661224,0.6546410856078467,0.6364358658793043,0.5127606035853667,0.740024528560721,0.9271740719948686,0.8509741553048905,1.0188952558462347,0.9602065284110847,0.9005442513578268,1.022934072157646
0.49074239437293216,0.38982917437368253,0.5980126784679112,0.5465522448079357,0.3994423061519621,0.673456844019162,0.9149277863002653,0.8608209102852397,0.9708967750825082,1.0046438467201322,0.918676653753498,1.0937940776527693
0.39433739145302993,0.2681548186139824,0.5254020688468417,0.44857625022807174,0.29808969083933146,0.5672909872070743,0.9212569652383218,0.856611889737562,0.9936149567608147,1.0736632523067597,0.9846335874827974,1.167297247608121
0.3452469876124319,0.21074969566485927,0.489294357640363,0.41849233401084834,0.27467785056221167,0.5354042483901397,0.9640542272947918,0.8685959676413442,1.064002127564468,1.0349101502553808,0.9403884276514695,1.143288322869816
0.25571445057452896,0.11265424119382797,0.396860398886896,0.3583370210156805,0.23890661702871993,0.4894038819608574,0.9687979494213982,0.8725595563125216,1.072162042334986,1.001966116955461,0.9112223581545291,1.0869613642942015
0.14495091438002647,-0.02202083812362371,0.30775544301589924,0.3582657906618177,0.265941483352036,0.4523905534164263,0.9509852071334106,0.8660455504368472,1.034770834401627,0.9442913009279416,0.8385620340610302,1.0513642199929651
0.1276027929458387,-0.018978415652119784,0.2776763302067276,0.36501192775887364,0.29855211327949327,0.43088144925051375,0.9705742618949972,0.879353100115129,1.0658278601693032,0.907915838624339,0.7926147517109473,1.0400028505753858
0.11293815275806957,-0.004270013344354399,0.23111481780309356,0.36328785257206636,0.2968446935705133,0.4263136815489511,0.9598014886492305,0.86354441235595,1.0561566919087633,0.9169151571455375,0.7917210533455852,1.0404433871750136
0.08162270671405979,-0.04916564247308601,0.20257308454401346,0.35585565415009585,0.26538095127623884,0.4405680033666286,0.9628470978409899,0.8602544681716562,1.0736911501434625,0.9525143419156693,0.8190095327033778,1.0802151592877585
0.07636977346171757,-0.06460289965795515,0.2094128225171833,0.3294259853995235,0.1888597880968599,0.4597806872439179,0.9625361741755298,0.8518231751178301,1.073988396449243,0.9803596115727671,0.8568568842434655,1.099296842747865
0.08288440962626638,-0.038882227201449154,0.20289938796324783,0.2271507830870708,0.04110707248646682,0.4007703332469527,0.9725055337083184,0.8696214301757276,1.0861990168316236,0.9551333314232893,0.8420785783449091,1.083262329772392
0.056009572073364475,-0.05212193096056939,0.16282584531315528,0.18948905968959948,0.038019166006013266,0.3281407729220779,0.9926985699664919,0.8920091960342198,1.1019134726687925,0.9664552461075918,0.8549318513706813,1.0860213855260141
-0.015968395175323218,-0.13057580577064898,0.08889544689088574,0.15034071368561377,0.04552707114169716,0.25972593487316414,0.9534898246391426,0.8560826479913781,1.046879094136927,0.9614200556745831,0.8279984828955189,1.10520176081839
-0.08487862340450118,-0.21430244299467563,0.012343446675745435,0.17003924237725485,0.07329574071885674,0.2724373279715144,0.9610839525278687,0.863447287297427,1.0729843664838559,0.9430440507697179,0.8313771098588743,1.0744619686603285
-0.08909812577119973,-0.21856069428000255,0.02911433705593807,0.17592585367113653,0.03482600638090589,0.3349719777374462,0.984591768455873,0.8822298771922781,1.093072486553317,0.9762623860869192,0.8665888487049579,1.0960188620246698
-0.03796233831872344,-0.17775208655983557,0.09877372485247371,0.22899005226350796,0.05331935192497066,0.40483903498933393,1.0387974055545512,0.9317726606635086,1.1574607513190165,0.9843854429678826,0.8504916925888105,1.1225256821940184
0.08586301959268196,-0.043138842271530795,0.22073222868031914,0.2240120465881473,0.051799336860188706,0.3944726324572403,1.1084870029238854,0.9760987917361775,1.2517129200433332,0.989671586446366,0.8530575647732722,1.1418584139908545
